message_id,message
msg_001,"Hey everyone — I'm Nina, and I turned 24 this spring."
msg_002,Most folks online know me as Mateo. I'm 31 years old.
msg_003,"Hi all! Priya here, 22 and excited to join this server."
msg_004,"The username's Omar, but you can just call me Omar — I'm 46."
msg_005,Hello from Sophie. I celebrated number 29 a couple months ago.
msg_006,Name's Diego. Been around for 38 years now.
msg_007,"What's up, I'm Aisha, age 26, joining from Nairobi."
msg_008,You can call me Benji. Just hit 33 last month.
msg_009,"Hey group, this is Elena checking in — 41 years old today, actually."
msg_010,Jordan here. Nineteen and mostly here to learn.
msg_011,"Call me Hana. I’m 57, but still the funniest one in the chat."
msg_012,"Good to meet you all — I'm Marcus, and I'm 44 years old."
msg_013,"Zuri here, freshly 30 as of this week."
msg_014,They call me Tomas. I'm 52 and happy to be here.
msg_015,"Hi everyone, I’m Chloe — 28 years young."
msg_016,Ravi dropping in. I turned 36 over the winter.
msg_017,"Forum intro time: I'm Grace, age 48."
msg_018,"Yo, I'm Malik. Been 21 since January."
msg_019,Amira here — just crossed into 40 this year.
msg_020,"The name is Ethan, and I’m 34 if anyone’s keeping score."
msg_021,"Hello hello, I'm Lucia. 25 candles on the cake this year."
msg_022,"Samir here, 63, and probably older than most of you."
msg_023,I usually go by Mei. I'm 27 years old and into game dev.
msg_024,Hey folks! Devon in the house — big 3-9 for me recently.
msg_025,"Hi, I’m Noor, and I’ve been on earth for 18 years so far."
msg_026,This is Gabriel. I turned 54 not too long ago.
msg_027,"People call me Talia. I'm 32, and I love these kinds of groups."
msg_028,"New here — I'm Ivan, 45, posting from Zagreb."
msg_029,Keisha here. Just celebrated 23 last weekend.
msg_030,"Nice to meet everyone. I’m Yusuf, and I’m 58 years old."
msg_031,"Hey team, the name’s Celeste — 37 and caffeinated."
msg_032,I'm Anika. Hit 20 earlier this month.
msg_033,"Friends call me Leo. I’m 49, though I don’t always act like it."
msg_034,"Hi there, Fatou checking in at age 35."
msg_035,Arjun here — 42 years old and ready to contribute.
msg_036,"Good evening all. I'm Rosa, 27, joining from Madrid."
msg_037,It’s Minh. I recently turned 43.
msg_038,"Hey, I'm Layla, just 19 for a few more months."
msg_039,Call me Chris — I’m 60 and new to Discord.
msg_040,"Hello group, Nabil here. I made it to 47 this year."
